date,open,high,low,close,volume,value
2022-04-04 9:00,1025,1030,1000,1015,181559819.2,1.84309E+11
2022-04-05 9:00,1015,1035,1000,1010,156080017.7,1.58355E+11
2022-04-06 9:00,1010,1015,935,937,350265849.5,3.42088E+11
2022-04-07 9:00,937,980,930,975,194599298.3,1.86254E+11
2022-04-08 9:00,975,985,941,947,178587631.1,1.72426E+11
2022-04-09 9:00,948,957,943,952,81943886.77,77892919769
2022-04-10 9:00,952,960,943,946,83605434.46,79462752994
2022-04-11 9:00,946,948,871,880,320918338,2.90419E+11
2022-04-12 9:00,880,915,876,901,249224883,2.21905E+11
2022-04-13 9:00,901,912,886,907,162198169,1.45902E+11
2022-04-14 9:00,908,929,894,912,190181837.1,1.73347E+11
2022-04-15 9:00,912,998,911,984,560164442.9,5.43606E+11
2022-04-16 9:00,985,1000,962,977,182994617.3,1.7973E+11
2022-04-17 9:00,976,983,941,947,127254058.4,1.22974E+11
2022-04-18 9:00,947,961,916,959,227155375.8,2.12644E+11
2022-04-19 9:00,960,971,949,962,155075165,1.48849E+11
2022-04-20 9:00,962,963,929,936,158644784.6,1.503E+11
2022-04-21 9:00,936,950,909,920,199150225.3,1.85813E+11
2022-04-22 9:00,920,928,900,903,177189134.9,1.61462E+11
2022-04-23 9:00,902,911,891,892,116462115.5,1.04533E+11
2022-04-24 9:00,891,896,878,880,124218137.6,1.10208E+11
2022-04-25 9:00,880,882,822,869,370368747.1,3.14069E+11
2022-04-26 9:00,870,886,807,821,309751827.2,2.6216E+11
2022-04-27 9:00,821,841,815,831,190901432.9,1.58074E+11
2022-04-28 9:00,832,836,810,819,163780086.8,1.34978E+11
2022-04-29 9:00,820,822,780,789,246713181.3,1.97215E+11
2022-04-30 9:00,788,808,761,767,193950470.2,1.53219E+11
2022-05-01 9:00,767,785,747,779,237038170.6,1.81408E+11
2022-05-02 9:00,780,808,771,789,190213389,1.50276E+11
2022-05-03 9:00,789,805,772,781,138317229.3,1.09257E+11
