,Symbol,prev_closing_price
0,BTC,50185000
1,ETH,3683000
2,LTC,129800
3,ETC,39480
4,XRP,818.4
5,BCH,392300
6,QTUM,7720
7,BTG,39550
8,EOS,2947
9,ICX,920
10,TRX,80.42
11,ELF,393.6
12,OMG,5335
13,KNC,6955
14,GLM,497.7
15,ZIL,115.4
16,WAXP,316.4
17,POWR,601.7
18,LRC,1070
19,STEEM,634.2
20,STRAX,1272
21,ZRX,1083
22,REP,16900
23,XEM,117
24,SNT,75.05
25,ADA,1068
26,CTXC,302.2
27,BAT,841.9
28,WTC,536
29,THETA,3510
30,LOOM,103.4
31,WAVES,20070
32,LINK,16040
33,ENJ,1641
34,VET,65.7
35,MTL,3264
36,IOST,34.12
37,TMTG,3.286
38,QKC,24.91
39,ATOLO,39.98
40,AMO,2.839
41,BSV,99400
42,ORBS,99.75
43,TFUEL,193
44,VALOR,582.8
45,CON,25.78
46,ANKR,88.21
47,MIX,10.84
48,CRO,495.1
49,FX,592.5
50,CHR,539.8
51,MBL,12.2
52,MXC,132.5
53,FCT2,157.7
54,TRV,23.4
55,DAD,158.7
56,WOM,120.3
57,SOC,11.89
58,BOA,114.5
59,MEV,27.99
60,SXP,1422
61,COS,18.22
62,APIX,57.98
63,EL,7.61
64,BASIC,5.008
65,HIVE,1126
66,XPR,10.71
67,VRA,21.81
68,FIT,2.296
69,EGG,39.31
70,BORA,904
71,ARPA,79.13
72,CTC,1166
73,APM,40.61
74,CKB,12.77
75,AERGO,302.9
76,ANW,32.23
77,CENNZ,120
78,EVZ,64.97
79,CYCLUB,15.25
80,SRM,2749
81,QTCON,6.928
82,UNI,10360
83,YFI,22801000
84,UMA,7140
85,AAVE,214000
86,COMP,156900
87,REN,427.3
88,BAL,17830
89,RSR,14.32
90,NMR,31980
91,RLC,2276
92,UOS,1089
93,SAND,3179
94,GOM2,48.1
95,RINGX,33.89
96,BEL,998.9
97,OBSR,4.063
98,ORC,331
99,POLA,97.39
100,AWO,95.71
101,ADP,38.43
102,DVI,424.3
103,GHX,63
104,MIR,1499
105,MVC,16.68
106,BLY,24.09
107,WOZX,147
108,ANV,581
109,GRT,501.5
110,MM,440.9
111,BIOT,40.05
112,XNO,67.92
113,SNX,7090
114,SOFI,231.2
115,COLA,172.9
116,OXT,279.4
117,LINA,29.55
118,MAP,27.31
119,AQT,3386
120,PLA,1056
121,WIKEN,23.36
122,CTSI,391.2
123,MANA,2317
124,LPT,31410
125,MKR,2098000
126,SUSHI,3792
127,ASM,54.02
128,PUNDIX,1083
129,CELR,54.4
130,CWD,95.3
131,ARW,1187
132,FRONT,595
133,RLY,183.2
134,OCEAN,603.4
135,BFC,168.5
136,ALICE,7830
137,OGN,670.2
138,COTI,274.5
139,CAKE,10290
140,BNT,2731
141,XVS,12230
142,SWAP,914.7
143,CHZ,258.5
144,AXS,48630
145,DAO,3780
146,SIX,222.7
147,DAI,1279
148,MATIC,1589
149,WOO,530
150,ACH,36.91
151,VELO,61.2
152,BCD,380.4
153,XLM,236.5
154,VSYS,14.07
155,IPX,54.81
156,WICC,156.4
157,ONT,641.3
158,LUNA,113400
159,AION,156.8
160,META,92.4
161,KLAY,1067
162,ONG,869.2
163,ALGO,861.4
164,JST,80.49
165,XTZ,3555
166,MLK,1002
167,WEMIX,3952
168,DOT,21690
169,ATOM,26370
170,SSX,56.67
171,TEMCO,6.068
172,HIBS,2.61
173,BURGER,1613
174,DOGE,176
175,KSM,201300
176,CTK,1418
177,XYM,128.2
178,BNB,512500
179,NFT,0.002
180,SUN,17.47
181,XEC,0.102
182,PCI,809.8
183,SOL,124700
184,EGLD,188400
185,GO,26.34
186,DFA,786.5
187,C98,1653
188,MED,52.2
189,1INCH,1666
190,BOBA,1409
191,GALA,215.1
192,BTT,0.0023
193,EFI,477.9
194,TITAN,4011
195,CSPR,84.8
196,AVAX,87350
197,TDROP,27.67
198,SPRT,1030
199,NPT,7680
200,REI,165
