Symbol,prev_closing_price
BTC,50185000
ETH,3683000
LTC,129800
ETC,39480
XRP,818.4
BCH,392300
QTUM,7720
BTG,39550
EOS,2947
ICX,920
TRX,80.42
ELF,393.6
OMG,5335
KNC,6955
GLM,497.7
ZIL,115.4
WAXP,316.4
POWR,601.7
LRC,1070
STEEM,634.2
STRAX,1272
ZRX,1083
REP,16900
XEM,117
SNT,75.05
ADA,1068
CTXC,302.2
BAT,841.9
WTC,536
THETA,3510
LOOM,103.4
WAVES,20070
LINK,16040
ENJ,1641
VET,65.7
MTL,3264
IOST,34.12
TMTG,3.286
QKC,24.91
ATOLO,39.98
AMO,2.839
BSV,99400
ORBS,99.75
TFUEL,193
VALOR,582.8
CON,25.78
ANKR,88.21
MIX,10.84
CRO,495.1
FX,592.5
CHR,539.8
MBL,12.2
MXC,132.5
FCT2,157.7
TRV,23.4
DAD,158.7
WOM,120.3
SOC,11.89
BOA,114.5
MEV,27.99
SXP,1422
COS,18.22
APIX,57.98
EL,7.61
BASIC,5.008
HIVE,1126
XPR,10.71
VRA,21.81
FIT,2.296
EGG,39.31
BORA,904
ARPA,79.13
CTC,1166
APM,40.61
CKB,12.77
AERGO,302.9
ANW,32.23
CENNZ,120
EVZ,64.97
CYCLUB,15.25
SRM,2749
QTCON,6.928
UNI,10360
YFI,22801000
UMA,7140
AAVE,214000
COMP,156900
REN,427.3
BAL,17830
RSR,14.32
NMR,31980
RLC,2276
UOS,1089
SAND,3179
GOM2,48.1
RINGX,33.89
BEL,998.9
OBSR,4.063
ORC,331
POLA,97.39
AWO,95.71
ADP,38.43
DVI,424.3
GHX,63
MIR,1499
MVC,16.68
BLY,24.09
WOZX,147
ANV,581
GRT,501.5
MM,440.9
BIOT,40.05
XNO,67.92
SNX,7090
SOFI,231.2
COLA,172.9
OXT,279.4
LINA,29.55
MAP,27.31
AQT,3386
PLA,1056
WIKEN,23.36
CTSI,391.2
MANA,2317
LPT,31410
MKR,2098000
SUSHI,3792
ASM,54.02
PUNDIX,1083
CELR,54.4
CWD,95.3
ARW,1187
FRONT,595
RLY,183.2
OCEAN,603.4
BFC,168.5
ALICE,7830
OGN,670.2
COTI,274.5
CAKE,10290
BNT,2731
XVS,12230
SWAP,914.7
CHZ,258.5
AXS,48630
DAO,3780
SIX,222.7
DAI,1279
MATIC,1589
WOO,530
ACH,36.91
VELO,61.2
BCD,380.4
XLM,236.5
VSYS,14.07
IPX,54.81
WICC,156.4
ONT,641.3
LUNA,113400
AION,156.8
META,92.4
KLAY,1067
ONG,869.2
ALGO,861.4
JST,80.49
XTZ,3555
MLK,1002
WEMIX,3952
DOT,21690
ATOM,26370
SSX,56.67
TEMCO,6.068
HIBS,2.61
BURGER,1613
DOGE,176
KSM,201300
CTK,1418
XYM,128.2
BNB,512500
NFT,0.002
SUN,17.47
XEC,0.102
PCI,809.8
SOL,124700
EGLD,188400
GO,26.34
DFA,786.5
C98,1653
MED,52.2
1INCH,1666
BOBA,1409
GALA,215.1
BTT,0.0023
EFI,477.9
TITAN,4011
CSPR,84.8
AVAX,87350
TDROP,27.67
SPRT,1030
NPT,7680
REI,165
