Symbol,opening_price,closing_price,min_price,max_price,prev_closing_price,fluctate_24H,fluctate_rate_24H
BTC,50200000,50249000,49920000,51200000,50185000,150000,0.3
ETH,3678000,3705000,3659000,3779000,3683000,27000,0.73
LTC,129400,131500,128600,132900,129800,4000,3.14
ETC,39430,39220,39160,40180,39480,-320,-0.81
XRP,818.4,812,811.1,825,818.4,-15.9,-1.92
BCH,392800,386100,385000,397600,392300,-300,-0.08
QTUM,7710,7680,7655,7845,7720,-60,-0.78
BTG,39840,39570,39360,40200,39550,-280,-0.7
EOS,2944,2970,2910,3028,2947,88,3.05
ICX,918.8,910.4,906.3,935.5,920,-15.2,-1.64
TRX,80.43,80.96,80.13,81.61,80.42,0.2,0.25
ELF,396.1,394.6,393.8,404.8,393.6,-8,-1.99
OMG,5325,5205,5205,5540,5335,-135,-2.53
KNC,6960,7260,6900,7275,6955,190,2.69
GLM,500.1,497.5,497,512.9,497.7,-3.1,-0.62
ZIL,115.4,112.5,112.3,118.2,115.4,-7.1,-5.94
WAXP,317.4,316.5,313.7,325,316.4,-2,-0.63
POWR,604.8,600.6,599.7,610,601.7,-3.8,-0.63
LRC,1077,1052,1050,1090,1070,-33,-3.04
STEEM,634.2,603.4,582.5,646.6,634.2,-82.6,-12.04
STRAX,1273,1269,1268,1291,1272,-27,-2.08
ZRX,1082,1011,1006,1107,1083,-118,-10.45
REP,16860,17030,16860,17880,16900,270,1.61
XEM,117.9,118,116.7,120.8,117,1.3,1.11
SNT,75.78,74.15,74.15,76.68,75.05,-1.8,-2.37
ADA,1070,1062,1058,1085,1068,-11,-1.03
CTXC,301.5,300.3,299.8,314.2,302.2,-4.3,-1.41
BAT,841.6,830.4,828,852.6,841.9,-13.6,-1.61
WTC,532.5,495.6,490,535.8,536,-23.6,-4.55
THETA,3521,3464,3455,3581,3510,-78,-2.2
LOOM,103.7,102.1,102.1,105.1,103.4,-1.4,-1.35
WAVES,20000,19210,19090,20300,20070,-1950,-9.22
LINK,16040,15930,15880,16340,16040,-170,-1.06
ENJ,1640,1620,1613,1665,1641,-35,-2.11
VET,65.53,64.71,64.22,66.71,65.7,-1.35,-2.04
MTL,3263,3410,3233,3540,3264,36,1.07
IOST,34.2,33.8,33.77,35.04,34.12,-1.13,-3.24
TMTG,3.286,3.327,3.264,3.407,3.286,0.063,1.93
QKC,24.88,24.68,24.67,25.68,24.91,-0.51,-2.02
ATOLO,39.98,39.89,39,40.43,39.98,-0.11,-0.28
AMO,2.82,2.774,2.762,2.846,2.839,-0.068,-2.39
BSV,99550,98950,98800,100700,99400,-50,-0.05
ORBS,99.9,96.21,95.47,101,99.75,-5.49,-5.4
TFUEL,193.1,191.5,191.5,196.5,193,-2,-1.03
VALOR,582.3,578.6,574,592.1,582.8,-13.4,-2.26
CON,25.73,26.12,25.57,27.7,25.78,-0.97,-3.58
ANKR,88.75,87.87,87.49,91.97,88.21,-0.8,-0.9
MIX,10.82,10.88,10.6,11.05,10.84,-0.08,-0.73
CRO,497.7,494.2,490.2,498.8,495.1,0,0
FX,591.6,593.4,590.1,598.6,592.5,-0.8,-0.13
CHR,542.3,524.5,516.2,556.8,539.8,34.6,7.06
MBL,12.2,12.48,11.96,13.75,12.2,1.29,11.53
MXC,133.4,136.5,133.1,139.5,132.5,3.6,2.71
FCT2,157.7,160,153.4,160,157.7,5.1,3.29
TRV,23.4,22.43,22.1,25.99,23.4,-1.01,-4.31
DAD,158.7,158.2,157.4,159.4,158.7,0.2,0.13
WOM,120.3,117.1,111.8,122.5,120.3,-6.8,-5.49
SOC,11.89,11.74,11.54,11.95,11.89,-0.23,-1.92
BOA,114.8,114.4,114,124.1,114.5,-2.8,-2.39
MEV,27.97,27.59,27.44,28,27.99,-0.19,-0.68
SXP,1422,1418,1406,1445,1422,-7,-0.49
COS,18.25,18.43,18.14,18.82,18.22,0.32,1.77
APIX,58.42,57.67,57.5,60,57.98,-0.35,-0.6
EL,7.58,7.449,7.41,7.633,7.61,-0.002,-0.03
BASIC,5.008,4.993,4.955,5.128,5.008,-0.107,-2.1
HIVE,1128,1124,1116,1167,1126,-25,-2.18
XPR,10.64,10.43,10.4,10.77,10.71,-0.74,-6.62
VRA,21.86,19,17.69,24,21.81,-2.89,-13.2
FIT,2.294,2.271,2.255,2.299,2.296,-0.019,-0.83
EGG,39.3,40.02,38.8,41,39.31,-0.28,-0.69
BORA,904,897.9,896.3,911.6,904,-15.1,-1.65
ARPA,79.03,77.56,77.45,79.9,79.13,-2.39,-2.99
CTC,1166,1156,1151,1250,1166,-33,-2.78
APM,40.6,41.12,40.05,43.98,40.61,-0.02,-0.05
CKB,12.72,12.64,12.62,13.28,12.77,-0.13,-1.02
AERGO,302.7,303.4,300.3,314,302.9,2.7,0.9
ANW,32.23,32.24,31.7,32.52,32.23,0.44,1.38
CENNZ,119.3,121.8,118.8,123.3,120,3.7,3.13
EVZ,64.96,69.53,63.6,69.83,64.97,5.34,8.32
CYCLUB,15.24,14.73,14.6,15.28,15.25,0.03,0.2
SRM,2760,2688,2674,2801,2749,-39,-1.43
QTCON,6.928,6.769,6.71,7.133,6.928,-0.17,-2.45
UNI,10350,10290,10270,10540,10360,-240,-2.28
YFI,22829000,22877000,22500000,23153000,22801000,141000,0.62
UMA,7150,7030,7000,7250,7140,-140,-1.95
AAVE,213400,206900,206400,217100,214000,-11600,-5.31
COMP,157200,154300,154100,158700,156900,-3800,-2.4
REN,431.8,426.6,423.9,437.8,427.3,-9.2,-2.11
BAL,17900,17700,17700,18260,17830,-780,-4.22
RSR,14.36,14.29,14.23,14.8,14.32,-0.02,-0.14
NMR,31990,31650,31650,32880,31980,-300,-0.94
RLC,2279,2244,2231,2301,2276,-19,-0.84
UOS,1086,1065,1065,1127,1089,-50,-4.48
SAND,3180,3145,3132,3257,3179,-51,-1.6
GOM2,48.1,47.14,47.1,48.38,48.1,-0.43,-0.9
RINGX,33.89,33.86,33.37,34.51,33.89,-0.36,-1.05
BEL,1000,991.6,986.3,1023,998.9,-2.3,-0.23
OBSR,4.064,4.18,4.064,4.287,4.063,0.128,3.16
ORC,331.5,331.7,328,336.6,331,0.6,0.18
POLA,97.39,97.19,95.11,97.4,97.39,0.58,0.6
AWO,95.7,81.61,80.71,99.85,95.71,-12.28,-13.08
ADP,38.07,37.53,37.52,38.87,38.43,0.32,0.86
DVI,424.3,421.8,421.8,439.9,424.3,-5.5,-1.29
GHX,63,61.32,60.47,63.3,63,-1.17,-1.87
MIR,1504,1486,1480,1517,1499,-41,-2.69
MVC,16.67,16.62,16.5,16.93,16.68,0.11,0.67
BLY,24.07,24.25,23.57,24.54,24.09,0.64,2.72
WOZX,147.3,151.3,146.2,154,147,3.3,2.23
ANV,584.7,590.8,573,608.5,581,-2.4,-0.4
GRT,499.9,449.3,446,524.9,501.5,-15.1,-3.25
MM,440.5,458.2,426,463.7,440.9,28.7,6.68
BIOT,40.08,40.02,39.72,40.4,40.05,-0.49,-1.21
XNO,67.88,67.94,67.46,68.24,67.92,0.9,1.34
SNX,7085,7030,6985,7230,7090,-140,-1.95
SOFI,228.1,220.9,212.9,243.8,231.2,1.4,0.64
COLA,173,172.5,172.1,173.9,172.9,1,0.58
OXT,279.9,279.3,276.4,296,279.4,1.5,0.54
LINA,29.56,29.44,28.58,30.54,29.55,0.89,3.12
MAP,27.31,28.11,27.04,29.56,27.31,0.7,2.55
AQT,3355,3246,3246,3387,3386,-21,-0.64
PLA,1062,1052,1052,1076,1056,-19,-1.77
WIKEN,23.36,22.97,22.85,23.75,23.36,0.3,1.32
CTSI,391.5,389.7,385.8,396.9,391.2,-0.5,-0.13
MANA,2314,2274,2261,2349,2317,-54,-2.32
LPT,31500,31010,30950,31860,31410,-660,-2.08
MKR,2105000,2035000,2029000,2129000,2098000,-93000,-4.37
SUSHI,3824,3739,3728,3994,3792,-55,-1.45
ASM,54.02,55.08,54.02,56.11,54.02,-0.75,-1.34
PUNDIX,1082,1078,1078,1105,1083,-24,-2.18
CELR,54.7,51.96,51.5,55,54.4,-3.6,-6.48
CWD,96.01,93.64,93.49,96.07,95.3,-1.84,-1.93
ARW,1182,1180,1174,1192,1187,13,1.11
FRONT,595,605.2,587.5,634.2,595,18.1,3.08
RLY,183.8,199.4,181.6,219.8,183.2,19.1,10.59
OCEAN,606.6,602.2,601.4,621.3,603.4,-8.9,-1.46
BFC,166.1,191.9,166,201.9,168.5,23.9,14.23
ALICE,7835,7900,7755,8110,7830,300,3.95
OGN,672.4,641.1,639.8,680.9,670.2,-36.6,-5.4
COTI,275.7,276.3,272.9,282,274.5,-2.6,-0.93
CAKE,10250,10250,10210,10680,10290,635,6.6
BNT,2737,2727,2717,2888,2731,17,0.63
XVS,12250,12140,12130,12520,12230,-200,-1.62
SWAP,903.9,875.3,875.3,915,914.7,-24.5,-2.72
CHZ,258.7,254.3,254.3,262.4,258.5,-8.5,-3.23
AXS,48610,47370,47270,49250,48630,-1350,-2.77
DAO,3749,3835,3730,3995,3780,182,4.98
SIX,222.7,205.6,204.1,225.7,222.7,-30.2,-12.81
DAI,1275,1271,1267,1279,1279,0,0
MATIC,1588,1553,1547,1603,1589,-51,-3.18
WOO,527.8,528.4,521.2,539.1,530,-7.2,-1.34
ACH,37.03,35.16,35.16,37.99,36.91,-1.62,-4.4
VELO,61.2,60.7,59.12,64.79,61.2,1.95,3.32
BCD,388,370,363.2,388,380.4,0.8,0.22
XLM,235.8,234.6,233.6,238.4,236.5,-2.4,-1.01
VSYS,14.19,14.57,13.95,14.57,14.07,0.32,2.25
IPX,54.68,54.34,53.52,54.68,54.81,0.09,0.17
WICC,156.4,155.4,153.6,156.4,156.4,2.5,1.64
ONT,645.9,655.1,640,684.5,641.3,8.6,1.33
LUNA,113400,111500,111200,115500,113400,-3300,-2.87
AION,155.9,164.4,152.7,169.4,156.8,5.1,3.2
META,92.85,93.15,92.23,96.4,92.4,-0.35,-0.37
KLAY,1067,1068,1055,1079,1067,7,0.66
ONG,871.5,867.5,867.5,902.6,869.2,-33.1,-3.68
ALGO,861.3,879.8,853.5,910,861.4,30.1,3.54
JST,80.44,82.81,79.62,85.37,80.49,1.39,1.71
XTZ,3558,3535,3520,3602,3555,-36,-1.01
MLK,1002,1007,1002,1017,1002,-8,-0.79
WEMIX,3958,3935,3927,4065,3952,-67,-1.67
DOT,21710,21440,21350,22000,21690,-230,-1.06
ATOM,26340,26010,25910,26770,26370,-1020,-3.77
SSX,57.1,56.92,56.92,58.32,56.67,-0.36,-0.63
TEMCO,6.068,6.069,6.001,6.109,6.068,-0.001,-0.02
HIBS,2.61,2.62,2.594,2.661,2.61,0.02,0.77
BURGER,1613,1624,1590,1690,1613,15,0.93
DOGE,175.4,173.7,173.1,177.9,176,-5.2,-2.9
KSM,202700,196400,196000,203500,201300,-4300,-2.14
CTK,1424,1424,1418,1450,1418,-12,-0.84
XYM,127,126.5,126,129.7,128.2,-3.1,-2.39
BNB,512500,513000,511000,521000,512500,15500,3.12
NFT,0.0019,0.002,0.0019,0.002,0.002,0.0001,5.26
SUN,17.5,17.23,17.05,18.04,17.47,-0.44,-2.49
XEC,0.1021,0.1023,0.1013,0.1048,0.102,-0.0007,-0.68
PCI,809.8,802.3,799,813.5,809.8,-5.4,-0.67
SOL,124900,123900,123400,127100,124700,-2300,-1.82
EGLD,189000,185000,184000,192000,188400,-6400,-3.34
GO,26.35,26.4,26.35,27.17,26.34,-0.91,-3.33
DFA,786.4,765.2,764.3,790,786.5,1,0.13
C98,1656,1695,1630,1760,1653,34,2.05
MED,52.31,51.79,51.79,53.94,52.2,-0.82,-1.56
1INCH,1677,1645,1645,1700,1666,-22,-1.32
BOBA,1411,1416,1403,1448,1409,-13,-0.91
GALA,215.2,212.9,211.8,219.1,215.1,-4.9,-2.25
BTT,0.0022,0.0022,0.0022,0.0023,0.0023,-0.0001,-4.35
EFI,477.9,481.8,477.9,503,477.9,-2.3,-0.48
TITAN,4025,4019,3955,4050,4011,-33,-0.81
CSPR,84.7,83.52,83.45,85.98,84.8,-3.72,-4.26
AVAX,87200,84500,84500,88400,87350,-4350,-4.9
TDROP,27.75,28.8,27.75,31.53,27.67,1.01,3.63
SPRT,1028,980.6,964.9,1043,1030,-33.4,-3.29
NPT,7680,7660,7655,8300,7680,-290,-3.65
REI,166.3,161.9,161.9,169.1,165,-5.7,-3.4
